Station name,Dwell time [s],Arrival [hh:mm],Distance [m],Grade [‰],Radius [m],Speed restriction [km/h],Regeneration max power [kW],AC line,DC line,Diesel mode,Battery mode,Station name
Cadiz,0,0,0,0,0,0,0,1,0,0,0,Cadiz
Jerez,0,0,400,0,0,75,0,1,0,0,0,
Sevilla,0,0,200,15,0,75,0,1,0,0,0,
,,,400,15,0,100,0,1,0,0,0,
,,,400,0,0,100,0,1,0,0,0,
,,,100,-8,0,100,0,1,0,0,0,
,,,200,-8,0,100,0,1,0,0,0,
,,,0,0,0,0,0,0,0,0,0,Jerez
,,,100,0,0,100,0,1,0,0,0,
,,,500,-15,0,100,0,1,0,0,0,
,,,40,-15,500,100,0,1,0,0,0,
,,,148,-15,0,95,0,1,0,0,0,
,,,212,0,500,95,0,1,0,0,0,
,,,10,0,0,95,0,1,0,0,0,
,,,12,0,500,100,0,1,0,0,0,
,,,600,3,650,155,0,1,0,0,0,
,,,510,3,700,155,0,1,0,0,0,
,,,90,0,650,155,0,1,0,0,0,
,,,120,0,0,155,0,1,0,0,0,
,,,480,-8,650,155,0,1,0,0,0,
,,,700,0,0,155,0,1,0,0,0,
,,,800,0,650,155,0,1,0,0,0,
,,,0,0,0,0,0,0,0,0,0,Sevilla
