KP [km],Distance step [m],Time [s],Speed [km/h],Acceleration [m/s²],Equivalent grade [‰],Radius [m],Speed restriction [km/h],Tractive Effort [kN],Braking Effort [kN],Resistance [kN]
0.85500000,5.00000000,0.15013646,120.00000000,-1.50000000,15.00000000,0.00000000,120.00000000,0.00000000,340.19879301,32.20439301
0.86000000,5.00000000,0.15116215,119.48556398,-1.50000000,15.00000000,0.00000000,120.00000000,0.00000000,340.18325531,32.18885531
0.86500000,5.00000000,0.15220916,118.66928836,-1.50000000,15.00000000,0.00000000,120.00000000,0.00000000,340.16766090,32.17326090
0.87000000,5.00000000,0.15327823,117.84735890,-1.50000000,15.00000000,0.00000000,120.00000000,0.00000000,340.15200859,32.15760859
0.87500000,5.00000000,0.15437015,117.01965647,-1.50000000,15.00000000,0.00000000,120.00000000,0.00000000,340.13629713,32.14189713
0.88000000,5.00000000,0.15548574,116.18605768,-1.50000000,15.00000000,0.00000000,120.00000000,0.00000000,340.12052524,32.12612524
0.88500000,5.00000000,0.15662587,115.34643471,-1.50000000,15.00000000,0.00000000,120.00000000,0.00000000,340.10469160,32.11029160
0.89000000,5.00000000,0.15779146,114.50065502,-1.50000000,15.00000000,0.00000000,120.00000000,0.00000000,340.08879483,32.09439483
0.89500000,5.00000000,0.15898346,113.64858116,-1.50000000,15.00000000,0.00000000,120.00000000,0.00000000,340.07283349,32.07843349
0.90000000,5.00000000,0.16020289,112.79007048,-1.50000000,15.00000000,0.00000000,120.00000000,0.00000000,340.05680610,32.06240610
0.90500000,5.00000000,0.16145082,111.92497487,-1.50000000,15.00000000,0.00000000,120.00000000,0.00000000,340.04071111,32.04631111
0.91000000,5.00000000,0.16272838,111.05314043,-1.50000000,15.00000000,0.00000000,120.00000000,0.00000000,340.02454693,32.03014693
0.91500000,5.00000000,0.16403675,110.17440719,-1.50000000,15.00000000,0.00000000,120.00000000,0.00000000,340.00831188,32.01391188
0.92000000,5.00000000,0.16537720,109.28860874,-1.50000000,15.00000000,0.00000000,120.00000000,0.00000000,339.99200423,31.99760423
0.92500000,5.00000000,0.16675106,108.39557187,-1.50000000,15.00000000,0.00000000,120.00000000,0.00000000,339.97562215,31.98122215
0.93000000,5.00000000,0.16815973,107.49511617,-1.50000000,15.00000000,0.00000000,120.00000000,0.00000000,339.95916378,31.96476378
0.93500000,5.00000000,0.16960472,106.58705362,-1.50000000,15.00000000,0.00000000,120.00000000,0.00000000,339.94262714,31.94822714
0.94000000,5.00000000,0.17108762,105.67118813,-1.50000000,15.00000000,0.00000000,120.00000000,0.00000000,339.92601018,31.93161018
0.94500000,5.00000000,0.17261010,104.74731500,-1.50000000,15.00000000,0.00000000,120.00000000,0.00000000,339.90931076,31.91491076
0.95000000,5.00000000,0.17417397,103.81522046,-1.50000000,15.00000000,0.00000000,120.00000000,0.00000000,339.89252662,31.89812662
0.95500000,5.00000000,0.17578113,102.87468104,-1.50000000,15.00000000,0.00000000,120.00000000,0.00000000,339.87565544,31.88125544
0.96000000,5.00000000,0.17743361,101.92546296,-1.50000000,15.00000000,0.00000000,120.00000000,0.00000000,339.85869475,31.86429475
0.96500000,5.00000000,0.17913360,100.96732145,-1.50000000,15.00000000,0.00000000,120.00000000,0.00000000,339.84164198,31.84724198
0.97000000,5.00000000,0.18167033,100.00000000,-1.50000000,-1.36363636,0.00000000,100.00000000,0.00000000,308.67462217,0.68022217
1.39000000,5.00000000,0.18349630,98.59006035,-1.50000000,-1.81818182,0.00000000,100.00000000,0.00000000,307.79226945,-0.20213055
1.39500000,5.00000000,0.18537846,97.59918032,-1.50000000,-2.27272727,0.00000000,100.00000000,0.00000000,306.90981479,-1.08458521
