Station name,Dwell time [s],Arrival [hh:mm],Distance [m],Grade [‰],Radius [m],Speed restriction [km/h],Regeneration max power [kW],AC line,DC line,Diesel mode,Battery mode,Station name
St1,0,0,0,0,0,0,0,1,0,0,0,St1
St2,0,0,80,0,0,140,0,1,0,0,0,
,,,120,15,0,140,0,1,0,0,0,
,,,40,15,0,140,0,1,0,0,0,
,,,160,0,0,140,0,1,0,0,0,
,,,100,10,0,140,0,1,0,0,0,
,,,40,10,0,140,0,0,1,0,0,
,,,20,10,0,140,0,0,1,0,0,
,,,100,-30,0,140,0,0,1,0,0,
,,,50,-30,0,110,0,0,1,0,0,
,,,350,0,0,90,0,0,1,0,0,
,,,100,5,0,90,0,1,0,0,0,
,,,120,-5,0,90,0,1,0,0,0,
,,,20,0,0,90,0,1,0,0,0,
,,,40,0,0,60,0,1,0,0,0,
,,,100,5,0,60,0,0,0,1,0,
,,,20,-8,0,60,0,0,0,1,0,
,,,100,-8,0,60,0,0,0,1,0,
,,,120,0,0,70,0,0,0,1,0,
,,,20,-15,0,70,0,0,0,1,0,
,,,40,-15,500,70,0,0,0,1,0,
,,,100,-15,0,95,0,0,0,1,0,
,,,20,5,500,95,0,0,0,1,0,
,,,80,10,0,95,0,0,0,1,0,
,,,84,0,500,50,0,0,0,1,0,
,,,60,0,500,50,0,1,0,0,0,
,,,60,3,700,50,0,1,0,0,0,
,,,180,0,650,30,0,1,0,0,0,
,,,30,0,0,30,0,1,0,0,0,
,,,20,-8,650,30,0,1,0,0,0,
,,,200,0,0,30,0,1,0,0,0,
,,,100,0,650,30,0,1,0,0,0,
,,,0,0,0,0,0,0,0,0,0,St2
